p36,get,0.017,divided,0.027
p36,'s,0.017,two,0.025
p36,figure,0.017,figure,0.025
p36,twenty,0.016,answer,0.025
p36,six,0.016,equals,0.022
p36,five,0.015,hundred,0.022
p36,sweet,0.015,first,0.019
p36,seven,0.015,point,0.019
p36,``,0.015,three,0.019
p36,'',0.015,ratio,0.016
p36,multiply,0.014,get,0.016
p36,know,0.012,'s,0.016
p36,hundred,0.012,since,0.016
p36,ratio,0.011,twenty,0.016
p36,ten,0.011,need,0.016
p36,awesome,0.011,yes,0.014
p36,okay,0.011,got,0.014
p37,two,0.029,ten,0.063
p37,three,0.027,one,0.054
p37,think,0.024,get,0.042
p37,multiply,0.021,correct,0.033
p37,'m,0.021,divide,0.030
p37,one,0.020,hundred,0.030
p37,times,0.019,know,0.027
p37,five,0.018,multiply,0.027
p37,figure,0.016,five,0.024
p37,answer,0.016,put,0.021
p37,put,0.015,next,0.021
p37,great,0.015,eminem,0.018
p37,sweet,0.015,much,0.018
p37,bags,0.015,six,0.018
p37,okay,0.015,'s,0.018
p37,``,0.014,two,0.018
p37,hundred,0.014,yes,0.015
p37,'',0.014,good,0.015
p37,get,0.013,plus,0.015
p37,step,0.013,point,0.015
p37,go,0.011,total,0.015
p37,'s,0.011,fraction,0.015
p37,need,0.011,need,0.015
p37,thinking,0.010,nika,0.015
p37,miles,0.010,miles,0.012
p38,two,0.037,times,0.108
p38,five,0.028,yes,0.058
p38,'s,0.028,correct,0.058
p38,one,0.024,one,0.054
p38,answer,0.024,good,0.054
p38,'m,0.024,ten,0.051
p38,put,0.023,job,0.051
p38,next,0.023,hundred,0.040
p38,times,0.020,six,0.036
p38,point,0.020,three,0.032
p38,hundred,0.020,five,0.032
p38,think,0.019,seven,0.029
p38,three,0.019,would,0.025
p38,figure,0.019,divided,0.025
p38,really,0.017,point,0.022
p38,bags,0.017,four,0.014
p38,twenty,0.016,seventy,0.014
p38,multiply,0.016,twelve,0.011
p38,know,0.015,forty,0.011
p38,step,0.015,'s,0.011
p38,n't,0.015,eight,0.011
p38,sure,0.015,thirty,0.011
p38,need,0.013,equal,0.011
p38,okay,0.013,two,0.011
p38,help,0.012,total,0.007
p39,three,0.043,three,0.072
p39,need,0.030,one,0.063
p39,paint,0.028,ten,0.058
p39,times,0.024,need,0.054
p39,one,0.024,multiply,0.045
p39,much,0.024,area,0.040
p39,think,0.022,six,0.040
p39,two,0.022,fluid,0.040
p39,okay,0.020,surface,0.040
p39,put,0.018,divide,0.031
p39,figure,0.018,square,0.027
p39,answer,0.018,paint,0.027
p39,'s,0.016,torso,0.027
p39,great,0.016,inches,0.022
p39,get,0.014,miles,0.022
p39,``,0.014,takes,0.018
p39,'',0.014,thirty,0.018
p39,multiply,0.014,hour,0.018
p39,'m,0.014,times,0.018
p39,help,0.012,oz,0.018
p39,thinking,0.012,know,0.018
p39,miles,0.012,covers,0.013
p39,step,0.012,find,0.013
p39,first,0.012,much,0.013
p39,feet,0.012,hundred,0.013
p4,think,0.028,going,0.062
p4,two,0.026,'re,0.054
p4,three,0.023,yes,0.046
p4,okay,0.022,times,0.046
p4,times,0.020,one,0.046
p4,figure,0.020,five,0.035
p4,'',0.020,divided,0.035
p4,``,0.018,ten,0.031
p4,'m,0.018,point,0.031
p4,help,0.016,three,0.031
p4,hundred,0.016,six,0.031
p4,get,0.016,four,0.027
p4,multiply,0.016,equals,0.027
p4,five,0.015,hundred,0.027
p4,sweet,0.015,seven,0.019
p4,'s,0.014,two,0.019
p4,great,0.014,divide,0.015
p4,one,0.014,want,0.015
p4,answer,0.014,twelve,0.012
p4,put,0.013,forty,0.012
p4,hard,0.011,correct,0.012
p4,step,0.011,multiply,0.012
p4,problem,0.011,fraction,0.012
p4,bags,0.011,basically,0.012
p4,need,0.011,surface,0.012
p40,two,0.030,hundred,0.132
p40,answer,0.026,one,0.110
p40,five,0.022,ten,0.088
p40,put,0.022,yes,0.066
p40,times,0.022,five,0.066
p40,three,0.022,times,0.059
p40,think,0.021,twenty,0.051
p40,get,0.019,two,0.051
p40,one,0.019,three,0.029
p40,hundred,0.019,'s,0.029
p40,bags,0.019,fifty,0.029
